AlarmBoxwBorough,Address
Q8358,"WHITESTONE EXPY- CROSS IS TO NORTHERN BL, New York, NY 11357"
M0143,"MOTT ST & BOWERY, New York, NY 10038"
B8010,"BQE BET GRAHAM & METROPOLITAN AVES, New York, NY NA"
R2379,"RICHMOND AV, OPP. ETON PL\OCEANIC VFD, New York, NY 10314"
X8902,"BX RIV PWAY BET STORY AVE & BOSTON RD, New York, NY NA"
Q8362,"CIP/BELT PKWY BET 230 PL & FRANCIS LEWIS, New York, NY NA"
M7230,"IND B-D-F-V @ BWAY & LAFAYETTE ST, New York, NY NA"
Q6431,"N SHORE TOWERS S/S GCP & CITY LINE/NCFD, New York, NY 11005"
Q8492,"VAN WYCK EXPY- NORTHERN BL TO QUEENS BLV, New York, NY NA"
M7162,"IND C&E @ W 50ST & 8 AVE, New York, NY NA"
M8108,"WILLIAMSBURG BRDG-BKLYN BND-INNER RDWAY, New York, NY NA"
B8621,"BELT PWAY BET 4 AVE & BAY 8 ST, New York, NY 11220"
R0624,"LINDEN PL & NEW LA->, New York, NY 10305"
Q0142,"JFK - R/O BLDG 178 S/W CORNER, New York, NY NA"
X8997,"HUTCH RV PWAY WESTCHESTER AV TO GUN HILL, New York, NY 10461"
R2513,"NOSTRAND AVE & SIDEVIEW AVE/OVFD, New York, NY 10314"
Q9800,"ARCHER AVE & STANDARD PL, New York, NY 11433"
R1719,"SOUTH GANNON AND WOODWARD AVES, New York, NY 10314"
R1146,"ARLINGTON AVE AND RICHMOND TERRACE, New York, NY 10303"
R0016,"RICHMOND TERR & NICHOLAS ST, New York, NY 10301"
Q8408,"BELT PKWY BET 147 & 150 STS, New York, NY 11434"
B7051,"BMT B&Q @ KINGS HGWY & E 16 ST, New York, NY 11229"
R8745,"SI XWAY BTW BRADLEY AVE & RICHMOND AVE, New York, NY NA"
B8373,"LINDEN PLAZA HOUSES, DUMONT & LINCOLN AV, New York, NY 11208"
Q8400,"GCP - LIE TO UNION TRPK, New York, NY NA"
X8724,"JACOBI HOSP TEL RM PELHAM PWAY & WILSON, New York, NY NA"
Q6460,"76 AVE & HEWLETT ST, New York, NY 11040"
M8604,"FDR DR - DELANCEY ST TO E 4 ST, New York, NY 10002"
X7217,"IND B&D ? E 170 ST & GRAND CONCOURSE, New York, NY 10456"
M2027,"LIBERTY ST 100'W OF WEST ST, New York, NY 10006"
Q4356,"E/S WHITESTONE EXPY & 3 AVE, New York, NY 11357"
Q4382,"WYCKOFF AVE & CENTRE ST, New York, NY 11385"
X8838,"1200 WATER PL-BX DEVELOP CTR-MAIN ENT, New York, NY 10461"
X8923,"X BX EXPY BET ROSEDALE & PUGSLEY AVES, New York, NY NA"
M8372,"HARLEM RIVER DR & W 143 ST, New York, NY 10035"
M7167,"IND A-B-C-D-E-F @ W 4 ST & 6 AVE, New York, NY NA"
Q8356,"MIDTOWN XWAY OPP 86 ST, New York, NY 11374"
R1942,"RICHMOND AVE & CHRISTOPHER LA, New York, NY 10314"
Q0305,"JFK AIRPORT - AREA C, New York, NY NA"
M2032,"NORTH END AVE & VESEY ST, New York, NY 10282"
X4601,"E/S METROPOLITAN AV-500'S OF A.RYAN OVAL, New York, NY 10462"
R8747,"SI XWAY BTW SOUTH AVE & WESTERN AVE, New York, NY 10314"
R3163,"WILD AVE & BERESFORD AVE/OVFD, New York, NY 10314"
X4139,"RANDALL AV & CROSS BX EXPY EB SVC RD, New York, NY 10465"
M1945,"MAIN ST N OF MOTOR GATE-ROOSEVELT IS., New York, NY 10044"
M1460,"WARD'S IS., OUTSIDE ADMIN. BLDG, New York, NY 10035"
R2487,"NEW DORP LANE AND NEW DORP PLAZA NORTH, New York, NY 10306"
M7016,"BMT N-R @E 8 ST & BWAY, New York, NY 10003"
R0958,"SIMONSON AVE AND RICHMOND TERRACE, New York, NY 10303"
M8346,"WARDS ISL DEPT HOMLESS SERVICES, New York, NY 10035"
B8668,"BQE BET KOSCIUSKO BRDG & MCGUINESS BLVD, New York, NY NA"
M8609,"FDR DR - E 48 TO E 61 ST, New York, NY NA"
X7416,"IRT 2 - E 241 ST & WHITE PLAINS RD, New York, NY NA"
M1936,"N CENTRAL RD OPP OCTAGON-ROOSEVELT IS., New York, NY 10044"
R2514,"VICTORY BLVD & ARLENE ST/OVFD, New York, NY 10314"
M1541,"AMSTERDAM AVE & 132 ST, New York, NY 10027"
Q9637,"PARK LA. SOUTH & 83 DR, New York, NY 11418"
M7301,"IRT 1 ? W 181 ST & ST NICHOLAS AVE, New York, NY NA"
Q0302,"JFK AIRPORT - TERMINALS 1-8->, New York, NY NA"
X8968,"UNIVERSITY HEIGHTS BRDG>>, New York, NY NA"
R8715,"W SHORE XWAY N/B AT MEREDITH AVE, New York, NY 10314"
X4482,"CARVER LOOP, OPP CASALS PL, New York, NY 10475"
B7054,"BMT B&Q @ SHEEPSHEAD BAY RD & E 16 ST, New York, NY NA"
X8960,"THROGS NECK BRIDGE ? BRONX BOUND, New York, NY 10465"
R1919,"LONGDALE ST & LAMBERTS LANE, New York, NY 10314"
X4844,"E229 ST-396' EAST OF LACONIA AVE, New York, NY 10466"
R2618,"MILL RD & TYSENS LA, New York, NY 10306"
M8608,"FDR DR - E 33 TO E 47 ST, New York, NY 10016"
X2635,"OLMSTEAD AVE & CESEAR PL, New York, NY 10473"
Q8202,"QNS MID-TOWN TUNNEL W/B EXIT S/S 37 ST, New York, NY NA"
R8039,"FRONT ST 250' E/O EDGEWATER & BAY STS, New York, NY NA"
X8556,"P.S. 29 COURTLAND AV & 157 ST, New York, NY 10451"
X8950,"WHITESTONE BRIDGE ? BRONX BOUND, New York, NY NA"
Q8300,"ROCKAWAY PT BLVD BCH 201 ENT BREEZY PT, New York, NY 11697"
R8037,"VERR BR-U/L-MAIN CONTROL BOOTH AT TOLL G, New York, NY NA"
R1215,"CAPODANNO BLVD & SAND LA, New York, NY 10305"
R2448,"AMBER ST & SHADOW LA\RICHMOND VFD, New York, NY 10306"
M7402,"IRT 4-5-6 @ E 42 ST & LEX AVE-GRAND CENT, New York, NY 10017"
M7437,"IRT 3 ? W 145 ST & LENOX AVE, New York, NY 10039"
M8511,"RIVERBANK PARK SOUTH COMFORT STATION, New York, NY NA"
R1902,"LAMBERTS LANE AND MAY AVE, New York, NY 10314"
R8501,"SILVER LAKE PARK RD 1050' S FORES, New York, NY NA"
X7428,"IRT 2&5 ? E 174 ST &  SOUTHERN BLVD, New York, NY 10460"
R1776,"BRIELLE AVE AND COUNTY HOUSE RD, New York, NY 10314"
R1223,"SAND LA & OLYMPIA BLVD, New York, NY 10305"
Q6968,"NORTHER BLVD & CLEARVIEW EXPY E/SVC RD, New York, NY NA"
M4502,"TRUMP TOWER RESP ZONE-W56ST-MADISON-PARK, New York, NY 10022"
X8826,"2750 LAFAYETTE AVE-HUNTINGTON AV,JHS101, New York, NY NA"
X8996,"HUTCH RIV PKWY-WATERBURY & E TREMONT AVE, New York, NY NA"
R2876,"NATIC ST AVE & MC KINLEY AVE/RVFD, New York, NY 10306"
B8060,"BQE BET FLUSHING AV & GOLD ST, New York, NY NA"
M1679,"159 ST-600' WEST OF 8 AVE, New York, NY 10039"
R2617,"TYSENS LA & FALCON AVE, New York, NY 10306"
R0733,"CORTLANDT ST AND SHARRET PL, New York, NY 10302"
Q8445,"CLEARVIEW EXPY- NORTHERN BLVD TO LIE, New York, NY NA"
R2893,"AULTMAN AVE & RICHMOND RD/RVFD, New York, NY 10306"
R3685,"ELTINGVILLE BLVD & GENESSE AV, New York, NY 10312"
B7060,"BMT D&M@FTHAMILTON PKWY & NEW UTRECHT AV, New York, NY 11219"
R1743,"FOREST HILL RD AND DRYSDALE ST, New York, NY 10314"
M7439,"IRT 2&3 ? W 125 ST & LENOX AVE, New York, NY NA"
M7022,"BMT R @ RECTOR ST & TRINITY PL, New York, NY NA"
M7438,"IRT 2&3 ? W 135 ST & LENOX AVE, New York, NY NA"
X2557,"E167 ST & STEBBINS/REV POLITE AVE, New York, NY 10459"
B7341,"IRT 2&3 @ EASTERN PKWY BKLYN MUSEUM, New York, NY 11238"
X3295,"EASTCHESTER RD & AMTRAK RR OVERPASS, New York, NY 10461"
X7366,"IRT 6 -PARKCHESTER AVE & WESTCHESTER AVE, New York, NY NA"
X8977,"CROSS BRONX EXPY & BRUCKNER EXPY, New York, NY NA"
R4315,"BLOOMINGDALE AND WOODROW RD, New York, NY 10309"
Q6939,"42 AVE & FRANCIS LEWIS BLVD, New York, NY 11361"
X4448,"BOLLER AV-600' N. OF TILLOTSON AV, New York, NY 10475"
X8921,"NEW ENG THWY-BRUCKNER EXPY TO BARTOW AVE, New York, NY NA"
M1935,"CROSS RD 600' W OF FIREHOUSE RSVLT IS, New York, NY 10044"
Q8404,"BELT PKWY BET HURON ST & 130 PL, New York, NY 11420"
B8381,"P.S. 260, WILLIAMS AVE. & STANLEY AVE., New York, NY NA"
R3413,"KELVIN AVE & SOUTH RAILROAD AVE->, New York, NY NA"
B7026,"BMT B-M-Q-R @ DEKALB AVE & FLATBUSH AVE, New York, NY NA"
B8629,"BELT PKWY BTW ERSKINE ST & CROSS BAY BLV, New York, NY NA"
B8628,"BELT PWAY BET FLATBUSH AV & ROCKAWAY PKY, New York, NY NA"
X3522,"KINGSBRIDGE TERR & FORT INDEPENDENCE, New York, NY 10463"
M0128,"400' W OF CATHERINE ST & 350' N OF SOUTH, New York, NY 10038"
R2196,"FIRTH & PLANK RDS/OCEANIC VFD, New York, NY 10314"
R2083,"GREELEY AND NORTH RAILROAD AVES, New York, NY 10306"
R1295,"CLOVE RD AND HILLCREST TERRACE, New York, NY 10305"
R8038,"VERR BR-L/L-MAIN CONTROL BOOTH AT TOLL G, New York, NY NA"
Q8360,"CROSS IS PKWY- JAMAICA AV TO HILLSIDE AV, New York, NY 11426"
R0021,"YORK AVE & RICHMOND TERR, New York, NY NA"
X8998,"HUTCH RIV PKWY-BRUCKNER EXPY & CITY LINE, New York, NY NA"
B8324,"PS 156 104 SUTTER AVE/GRAFTON ST, New York, NY NA"
R1489,"422' N OF OLYMPIA BLVD & SEA VIEW AVE, New York, NY 10305"
X4457,"FOOT OF DE KRUIF PL, New York, NY 10475"
B8615,"GOWANUS XWAY & BQE, New York, NY NA"
B7032,"BMT D-M-N-R @ 36 ST & 4 AVE, New York, NY NA"
M0842,"BEEKMAN PL & E 49 ST, New York, NY 10022"
M7327,"IRT 1? 2-3 CHAMBERS ST & W BWAY, New York, NY 10007"
M7406,"IRT 4-5-6 ? E 14 ST UNION SQ & 4 AVE, New York, NY 10003"
Q8396,"G.C.P. BTW 79 & 93 STS, New York, NY NA"
Q9631,"S/S ATLANTIC AVE 135' E OF 111 ST, New York, NY 11418"
M7277,"IND B-D-E @ 7 AVE & W 53 ST, New York, NY 10019"
Q0061,"FLUSHING MEADOW PK APPROACH RD 400 FT SO, New York, NY 11355"
M7231,"IND B&D @ GRAND ST & CHRISTIE ST, New York, NY NA"
R0018,"RICHMOND TERR & WESTERVELT AVE, New York, NY 10301"
B7345,"IRT 3&4 @ UTICA AVE & EASTERN PKWY, New York, NY 11213"
X8867,"IS 229, CEDAR & SEDGWICK AVES, New York, NY 10453"
R1297,"NARROWS RD N, 200' W OF HYLAN BLVD, New York, NY 10305"
Q4584,"S/W COR MYRTLE AVE & CENTRE ST, New York, NY 11385"
Q8371,"CROSS IS PKWY- UNION TPKE TO LIE, New York, NY NA"
R0772,"PORT RICHMOND AVE & HATFIELD PL, New York, NY 10302"
R2622,"TYSENS LANE AND MANILA AVE, New York, NY 10306"
M1784,"FT WASHINGTON AV, 125' S OF CABRINI PLZ, New York, NY 10040"
M7161,"IND A-B-C&D @ W 59 ST & COLUMBUS CIR, New York, NY NA"
Q8392,"JACKIE ROBINSON PKWY - MYRTLE AVE, New York, NY NA"
B8630,"PROSPECT XWAY BET 5 AVE & OCEAN PWAY, New York, NY NA"
R3822,"HARBOUR CT SOUTH OF TENNYSON DR, New York, NY 10308"
X8836,"1500 WATER PL-BX STATE HOSP-ADMIN BLDG-T, New York, NY 10461"
R2425,"KENT ST & LONDON RD\RICHMOND VFD, New York, NY 10306"
X2355,"SEDGWICK & JEROME AVES, New York, NY NA"
B8689,"BELT PKWY BTW PNSYLVNIA AV & ERSKINE ST, New York, NY NA"
R0494,"FOX HILL TERRACE & VIRGINIA AVE, New York, NY 10305"
M7009,"BMT N-Q-R @ W 57 ST & 7 AVE, New York, NY 10106"
M8172,"PENN STATION COMMAND CNTR - 400 W 31 ST, New York, NY NA"
R3945,"INDUST LOOP E OF ARTHKILL RD, New York, NY 10309"
M7158,"IND B&C @ W 86 ST & CENTRAL PK W, New York, NY NA"
Q8380,"BQE - KOSCIUSZKO BRDG TO LIE, New York, NY NA"
R3069,"HOPKINS AVE & HYLAN BLVD->, New York, NY 10306"
Q6463,"76 AVE & 270 ST, New York, NY 11004"
M1590,"RANDALLS ISL TBTA COMPLEX MULTI BLDGS, New York, NY 10035"
B7141,"BMT SHUTTLE @ PARK PL & FRANKLIN AVE, New York, NY NA"
M8154,"408 1 AVE - VA HOSP, New York, NY NA"
M1004,"RIVERSIDE BLVD & W 67 ST, New York, NY 10069"
X8527,"LINCOLN HLTH CTR, 149 ST & MORRIS AV-SEC, New York, NY NA"
Q0457,"STA 457- IRT #7- 52 ST & ROOSEVELT AVE, New York, NY NA"
X8853,"ADMIN BLDG P.D. PISTOL RANGE RODMANS NEC, New York, NY NA"
X8973,"SPUYTEN DYVIL RAILROAD BRDG>>, New York, NY NA"
Q2908,"E/S OF VAN WYCK XWAY S & NORTHERN BLVD, New York, NY NA"
Q0443,"STA 278- IND E-J-Z- PARSONS & ARCHER, New York, NY NA"
X4129,"LAFAYETTE AV & CROSS BX EXPY WB SVC RD, New York, NY 10465"
R3181,"LATIMER & SHENANDOAH AVES\OCEANIC VFD, New York, NY NA"
X8958,"3 AVE BRIDGE>>, New York, NY NA"
X8829,"BRUCKNER EXPY E/B ABOVE BRUSH AV, New York, NY 10462"
R8713,"W SHORE XWAY N/B 300' S OF SOUTH AVE, New York, NY NA"
R2069,"COLONY ST & GREELEY AVE, New York, NY 10306"
X8879,"BRUCKNER EXPY BET 139 ST & LONGFELLOW AV, New York, NY 10459"
B8669,"BQE BET AINSLIE ST & KENT AVE, New York, NY NA"
M8606,"FDR DR - E 8 TO E 21 ST, New York, NY 10009"
R2911,"ROCKVILLE AV, 300' E. OF MULBERRY AV\OCE, New York, NY 10314"
Q8395,"GCP BTW 31 ST & 78 ST, New York, NY NA"
X4758,"SEDGWICK AV-600' N OF ALEX HAMILTON BRID, New York, NY 10453"
X8900,"SHERIDAN EXPY-BRUCKNER EX TO E 177 ST->, New York, NY NA"
R3172,"VICTORY BLVD & LEROY ST/OVFD, New York, NY 10314"
M2033,"VESEY ST 100'W OF WEST ST, New York, NY 10281"
M7408,"IRT 6 ? BLEECKER ST & LAFAYETTE ST, New York, NY NA"
R3589,"LORING & MC ARTHUR AVES, New York, NY 10312"
R0048,"VICTORY BLVD OPP MONROE AVE, New York, NY 10301"
M7414,"IRT 4&5 ? BOWLING GREEN & BWAY, New York, NY NA"
M0123,"NEW CHAMBERS ST, 200' SE OF ST JAMES PL, New York, NY 10038"
M7154,"IND B&C ? W 116 ST & ST NICHOLAS AVE, New York, NY NA"
M0124,"200' E WAGNER PL BTW PEARL ST & SOUTH ST, New York, NY 10038"
R0771,"SHARPE AND PALMER AVES, New York, NY 10302"
X8889,"BRUCKNER EXPY-ROBERTS AV & NEW ENG THWY, New York, NY 10461"
R2969,"FOREST HILL RD & PLATINUM AVE / VFD, New York, NY 10314"
X4491,"COOP CITY BLVD, OPP BLDG #22, New York, NY 10475"
M0129,"200' W OF CATHERINE & MONROE STS IFO MET, New York, NY 10038"
Q8386,"QNS MIDTOWN EXP & BKLYN-QNS EXP TO 60 ST, New York, NY NA"
B8460,"GOWANUS EXPY BET 65 ST & 92 ST, New York, NY NA"
R0746,"LEXINGTON AVE AND CATHERINE ST, New York, NY 10302"
R2384,"ARLENE ST & DAWSON CIR\OCEANIC VFD, New York, NY 10314"
M2030,"LIBERTY ST & SOUTH END AVE, New York, NY 10280"
B8627,"BELT PWAY BET KNAPP ST & FLATBUSH AV, New York, NY NA"
R1782,"ROOSEVELT AVE AND WILLOWBROOK RD, New York, NY NA"
R0034,"WALL ST & ST. MARKS PL, New York, NY 10301"
R0678,"MC CLEAN AND JACKSON AVES, New York, NY 10305"
X8932,"NEW ENGLAND THWY AT RAMP TO HUTCH RIV PK, New York, NY NA"
M8466,"RFK BRIDGE - MANHATTAN BOUND -, New York, NY 10035"
M7165,"IND C&E @ W 23 ST & 8 AVE, New York, NY NA"
M1913,"WEST RD OPP ENT GOLDWATER HOSP RSVLT IS, New York, NY 10044"
Q8402,"GCP - UTOPIA PKWY TO FRANCIS LEWIS BLVD, New York, NY NA"
R2430,"MEISNER AVE & SCHEFFELIN AV\RICHMOND VFD, New York, NY 10306"
Q1753,"SHORE PKWY SVC RD & 156 AVE, New York, NY 11414"
M0482,"STUYVESANT TWN SVC RD-ENTER 16 ST & 1 AV, New York, NY 10009"
M7233,"IND F @ DELANCEY ST & ESSEX ST, New York, NY 10002"
Q6499,"UNION TURNPIKE & 271 ST, New York, NY 11040"
M0253,"KAZAN ST & GRAND ST, New York, NY 10002"
B7058,"BMT D-F-N-Q @ CI -STILLWELL & SURF AVES, New York, NY NA"
Q4442,"41 AVE & KISSENA BLVD, New York, NY 11355"
R1561,"LAGUARDIA AVE & SCHMIDT LA, New York, NY 10314"
Q6461,"77 AVE & HEWLETT ST, New York, NY 11040"
M8795,"GRAND CENTRAL N ACCESS-E48ST & PARK AV>>, New York, NY NA"
M7477,"IND Q - E 72 ST & 2 AVE, New York, NY NA"
M8612,"FDR DR - E 89 TO E 114 ST, New York, NY 10028"
X8880,"BRUCKNER EXPY-EDGEWATER RD & BX RIV PKWY, New York, NY 10472"
R1495,"GARRETSON AVE AND MAGNOLIA ST, New York, NY 10305"
R3620,"ANNADALE RD AND GENESSEE AVE, New York, NY 10312"
R2040,"LINCOLN AND SOUTH RAILROAD AVES, New York, NY 10306"
R1844,"SEAVER AVE BTW RICHMOND RD & JEFFERSON S, New York, NY 10306"
M7146,"IND A ? W 181 ST & FT WASH AVE, New York, NY NA"
R8043,"U S NAVAL STATION MCCLEAN AVE GATE, New York, NY 10307"
M7166,"IND A-C @ E 14 ST & 8 AVE, New York, NY 10011"
X2518,"GILLESPIE SQ-NW COR. OF 165 ST, New York, NY 10456"
R2794,"ROCKVILLE AV & BOWLING GREEN PL\OCEANIC, New York, NY 10314"
R1684,"ROCKLAND & MEISNER AVES/RICHMOND VFD, New York, NY 10314"
R8740,"W SHORE XWAY S/B 400' N ARTHUR KILL RD, New York, NY NA"
M7315,"IRT 1 ? W 59 ST & BROADWAY, New York, NY NA"
M8490,"GEORGE WASHINGTON BRIDGE UPPER DECK, New York, NY NA"
M7317,"IRT 1-2-3 ? W 42 ST & BWAY, New York, NY 10036"
M7227,"IND B-D-F-V @ W 34 ST & 6 AVE, New York, NY NA"
M8603,"FDR DR - PIKE SLIP TO DELANCEY ST, New York, NY 10002"
B8617,"PROSPECT EXPY BET GOWANUS EXPY & 5 AVE, New York, NY 11215"
M7228,"IND F&V  @ W 23 ST & 6 AVE, New York, NY 10010"
R2011,"MIDLAND AVE AND SOUTH RAILROAD AVE, New York, NY 10306"
B7235,"IND F @ YORK & JAY STS, New York, NY NA"
X4563,"WILLIAM AVE & MARINE ST, New York, NY 10464"
X4260,"ROBERTS AVE & BRUCKNER BLVD S/B, New York, NY 10461"
X7434,"IRT 2&5 - 3 AVE & E 149 ST, New York, NY NA"
B8418,"F/O 5702 FARRAGUT RD OPP E57 ST, New York, NY NA"
Q8996,"NASSAU EXPRESSWAY & JFK EXPRESSWAY, New York, NY NA"
M0240,"GOUVERNEUR & MONROE STS, New York, NY 10002"
B8454,"GOWANUS EXPY-BET 39 ST & BATTERY TUNL, New York, NY 11232"
R0351,"NORTH BURGHER & HENDERSON AVES, New York, NY 10310"
Q0425,"STA 257-IND F-SUTPHIN BLVD & HILLSIDE AV, New York, NY 11435"
R2366,"AMSTERDAM PL & FREEDOM AVE\OCEANIC VFD, New York, NY 10314"
X2659,"HAVEMEYER AVE & CAESAR PL, New York, NY 10473"
M7172,"IND A&C @ BWAY & NASSAU ST, New York, NY 10007"
R8132,"VISEY PAPER 4435 VICTORY BLVD-WILD AVE, New York, NY 10314"
R1551,"SOUTH GANNON AVE AND FANNING ST, New York, NY 10314"
B8473,"FT HAMILTON RESERVAT WAINRIGHT DR & POLY, New York, NY NA"
R3458,"DURANT AVE & KEEGANS LA->, New York, NY 10308"
B7241,"IND F @ 15 ST & PROSPECT PK W, New York, NY NA"
X4264,"WILKINSON AVE & BRUCKNER BLVD S/B, New York, NY 10461"
M7407,"IRT 6 ? ASTOR PL & LAFAYETTE ST, New York, NY 10003"
B7127,"BMT L @ DEKALB AVE & WYCKOFF AVE, New York, NY 11237"
R0015,"RICHMOND TERR & HAMILTON AVE, New York, NY 10301"
