,alarm_box_borough,alarm_box_location,alarm_box_number,alarm_level_index_description,alarm_source_description_tx,citycouncildistrict,communitydistrict,communityschooldistrict,congressionaldistrict,dispatch_response_seconds_qy,engines_assigned_quantity,first_activation_datetime,first_assignment_datetime,first_on_scene_datetime,highest_alarm_level,incident_borough,incident_classification,incident_classification_group,incident_close_datetime,incident_datetime,incident_response_seconds_qy,incident_travel_tm_seconds_qy,ladders_assigned_quantity,other_units_assigned_quantity,policeprecinct,starfire_incident_id,valid_dispatch_rspns_time_indc,valid_incident_rspns_time_indc,zipcode,Address,Lat,Lon
11,BROOKLYN,3 AVE & 76 ST,1135,Initial Alarm,Private Fire Alarm,43,310,20,11,44,3,2017-11-08T12:00:52.000,2017-11-08T12:00:37.000,2017-11-08T12:03:23.000,First Alarm,BROOKLYN,Alarm System - Defective,NonMedical Emergencies,2017-11-08T12:28:39.000,2017-11-08T11:59:53.000,210,166,2,2,68,1.73E+15,N,Y,11209,"3 AVE & 76 ST, New York, NY 11209",40.8327336,-73.9050357
12,BROOKLYN,NOSTRAND AVE & MONROE ST,938,Initial Alarm,Verbal,NA,NA,NA,NA,23,1,2017-02-16T08:21:02.000,2017-02-16T08:21:02.000,2017-02-16T08:22:24.000,First Alarm,BROOKLYN,Undefined Emergency,NonMedical Emergencies,2017-02-16T08:40:55.000,2017-02-16T08:20:39.000,105,82,0,0,NA,1.70E+15,N,Y,NA,"NOSTRAND AVE & MONROE ST, New York, NY NA",40.6414193,-73.9485721
13,MANHATTAN,1 AVE & E 14 ST,470,Initial Alarm,PD Link/Medical,2,103,1,12,6,1,2017-09-19T17:12:30.000,2017-09-19T17:12:09.000,2017-09-19T17:14:06.000,First Alarm,MANHATTAN,Medical - Assist Civilian,Medical Emergencies,2017-09-19T17:45:37.000,2017-09-19T17:12:03.000,123,117,0,0,9,1.73E+15,N,Y,10009,"1 AVE & E 14 ST, New York, NY 10009",40.763368,-73.95924
14,QUEENS,109 AVE & 160 ST,5011,Initial Alarm,UCT/911,28,412,28,5,11,2,2017-02-16T08:09:59.000,2017-02-16T08:09:43.000,2017-02-16T08:13:19.000,First Alarm,QUEENS,Utility Emergency - Gas,NonMedical Emergencies,2017-02-16T08:23:11.000,2017-02-16T08:09:32.000,227,216,2,1,103,1.70E+15,N,Y,11433,"109 AVE & 160 ST, New York, NY 11433",40.697052,-73.783958
15,BROOKLYN,BQE BET ATLANTIC AVE & RAPELYE ST,8090,Initial Alarm,PD Link/Medical,NA,NA,NA,NA,13,3,2017-01-03T23:22:44.000,2017-01-03T23:22:24.000,2017-01-03T23:26:16.000,First Alarm,BROOKLYN,Vehicle Accident - Other,NonMedical Emergencies,2017-01-03T23:55:53.000,2017-01-03T23:22:11.000,245,232,2,1,NA,1.70E+15,N,Y,NA,"BQE BET ATLANTIC AVE & RAPELYE ST, New York, NY NA",40.6998248,-73.9962445
16,BRONX,WASHINGTON AVE & 170 ST,2748,Initial Alarm,UCT/911,16,203,9,15,16,0,2017-05-14T15:33:16.000,2017-05-14T15:33:05.000,2017-05-14T15:37:08.000,First Alarm,BRONX,Assist Civilian - Non-Medical,NonMedical Emergencies,2017-05-14T15:42:28.000,2017-05-14T15:32:49.000,259,243,1,0,42,1.71E+15,N,Y,10456,"WASHINGTON AVE & 170 ST, New York, NY 10456",40.83534,-73.90463
17,BROOKLYN,AVENUE U & RYDER ST,3994,Initial Alarm,EMS Link/Medical,46,318,22,8,6,1,2017-11-20T10:29:27.000,2017-11-20T10:29:08.000,2017-11-20T10:33:52.000,First Alarm,BROOKLYN,Medical - Assist Civilian,Medical Emergencies,2017-11-20T10:41:01.000,2017-11-20T10:29:02.000,290,284,0,0,63,1.73E+15,N,Y,11234,"AVENUE U & RYDER ST, New York, NY 11234",40.6003731,-73.9423895
18,BROOKLYN,ST EDWARDS ST 125' NO OF AUBURN PL,398,Initial Alarm,UCT/911,35,302,13,8,5,0,2017-10-08T00:52:37.000,2017-10-08T00:52:24.000,2017-10-08T00:56:42.000,First Alarm,BROOKLYN,Assist Civilian - Non-Medical,NonMedical Emergencies,2017-10-08T01:03:34.000,2017-10-08T00:52:19.000,263,258,1,0,88,1.73E+15,N,Y,11205,"ST EDWARDS ST 125' NO OF AUBURN PL, New York, NY 11205",40.6944093,-73.9760962
19,QUEENS,103 AVE & 115 ST,6031,Initial Alarm,UCT/911,28,409,27,5,7,1,2017-10-03T11:05:48.000,2017-10-03T11:05:32.000,2017-10-03T11:10:39.000,First Alarm,QUEENS,Assist Civilian - Non-Medical,NonMedical Emergencies,2017-10-03T11:18:55.000,2017-10-03T11:05:25.000,314,307,0,0,102,1.73E+15,N,Y,11419,"103 AVE & 115 ST, New York, NY 11419",40.687,-73.82836
20,MANHATTAN,BROADWAY & 163 ST,1689,Initial Alarm,EMS Link/Medical,7,112,6,13,4,1,2017-09-06T10:06:59.000,2017-09-06T10:06:33.000,2017-09-06T10:11:43.000,First Alarm,MANHATTAN,Medical - Assist Civilian,Medical Emergencies,2017-09-06T10:25:08.000,2017-09-06T10:06:29.000,314,310,0,0,33,1.72E+15,N,Y,10032,"BROADWAY & 163 ST, New York, NY 10032",40.83776,-73.94205
21,BRONX,MORRIS AVE & E 152 ST,2268,Initial Alarm,PD Link/Medical,17,201,7,15,84,1,2017-06-11T10:31:36.000,2017-06-11T10:31:11.000,2017-06-11T10:36:02.000,First Alarm,BRONX,Medical - Assist Civilian,Medical Emergencies,2017-06-11T11:20:31.000,2017-06-11T10:29:47.000,375,291,0,0,40,1.72E+15,N,N,10451,"MORRIS AVE & E 152 ST, New York, NY 10451",40.69028,-73.87172
22,BROOKLYN,JAMAICA & AUTUMN AVES,1893,DEFAULT RECORD,ERS No Contact,NA,NA,NA,NA,4,1,2017-03-31T06:19:31.000,2017-03-31T06:19:10.000,2017-03-31T06:25:33.000,First Alarm,BROOKLYN,Non-Medical MFA - ERS No Contact,NonMedical MFAs,2017-03-31T06:26:12.000,2017-03-31T06:19:06.000,387,383,0,0,NA,1.71E+15,N,Y,NA,"JAMAICA & AUTUMN AVES, New York, NY NA",40.81887,-73.86524
23,BROOKLYN,FRANKLIN AVE & PROSPECT PL,975,Initial Alarm,ERS,35,308,17,9,83,1,2017-07-28T19:39:32.000,2017-07-28T19:39:23.000,2017-07-28T19:42:44.000,First Alarm,BROOKLYN,Medical - Assist Civilian,Medical Emergencies,2017-07-28T19:53:02.000,2017-07-28T19:38:00.000,284,201,0,0,77,1.72E+15,N,Y,11238,"FRANKLIN AVE & PROSPECT PL, New York, NY 11238",40.76099,-73.77166
24,BRONX,SEWARD AVE & COMMONWEALTH AVE,2674,Initial Alarm,PD Link/Medical,18,209,8,15,6,1,2017-07-12T21:55:54.000,2017-07-12T21:55:37.000,2017-07-12T22:00:21.000,First Alarm,BRONX,Medical - PD Link 10-91,Medical Emergencies,2017-07-12T22:06:05.000,2017-07-12T21:55:31.000,290,284,0,0,43,1.72E+15,N,Y,10473,"SEWARD AVE & COMMONWEALTH AVE, New York, NY 10473",40.88943,-73.8985
25,QUEENS,43 AVE & 212 ST,6187,Initial Alarm,UCT/911,19,411,26,6,11,1,2017-08-21T19:58:39.000,2017-08-21T19:58:21.000,2017-08-21T20:02:36.000,First Alarm,QUEENS,Assist Civilian - Non-Medical,NonMedical Emergencies,2017-08-21T20:05:46.000,2017-08-21T19:58:10.000,266,255,0,0,111,1.72E+15,N,Y,11361,"43 AVE & 212 ST, New York, NY 11361",40.70829,-73.73849
26,BROOKLYN,SNYDER AVE & EAST 46 ST,3899,Initial Alarm,PD Link/Medical,45,317,18,9,8,1,2017-03-07T13:59:22.000,2017-03-07T13:58:57.000,NA,First Alarm,BROOKLYN,Medical - PD Link 10-91,Medical Emergencies,2017-03-07T13:59:33.000,2017-03-07T13:58:49.000,0,0,0,0,67,1.71E+15,N,N,11203,"SNYDER AVE & EAST 46 ST, New York, NY 11203",40.649881,-73.934092
27,QUEENS,DONGAN AVE & POYER ST,7942,Initial Alarm,PD Link/Medical,25,404,24,6,4,1,2017-01-05T22:42:06.000,2017-01-05T22:41:53.000,2017-01-05T22:45:59.000,First Alarm,QUEENS,Medical - Assist Civilian,Medical Emergencies,2017-01-05T23:00:28.000,2017-01-05T22:41:49.000,250,246,0,0,110,1.70E+15,N,Y,11373,"DONGAN AVE & POYER ST, New York, NY 11373",40.6148024,-74.1206552
28,RICHMOND / STATEN ISLAND,WOODROW AND FOSTER RDS,4026,Initial Alarm,Private Fire Alarm,51,503,31,11,31,1,2017-06-07T20:30:22.000,2017-06-07T20:30:00.000,2017-06-07T20:33:37.000,First Alarm,RICHMOND / STATEN ISLAND,Alarm System - Defective,NonMedical Emergencies,2017-06-07T21:00:14.000,2017-06-07T20:29:29.000,248,217,1,1,123,1.72E+15,N,Y,10309,"WOODROW AND FOSTER RDS, New York, NY 10309",40.5341642,-74.2038876
29,BRONX,BEACH AVE & ARCHER ST,3049,Initial Alarm,UCT/911,18,209,12,15,19,3,2017-01-22T13:57:26.000,2017-01-22T13:57:13.000,2017-01-22T14:00:26.000,First Alarm,BRONX,Assist Civilian - Non-Medical,NonMedical Emergencies,2017-01-22T14:19:33.000,2017-01-22T13:56:54.000,212,193,3,1,43,1.70E+15,N,Y,10460,"BEACH AVE & ARCHER ST, New York, NY 10460",40.837503,-73.867264
30,BRONX,BROADWAY & W 242 ST,3775,Initial Alarm,PD Link/Medical,11,208,10,16,11,1,2017-09-14T13:28:01.000,2017-09-14T13:27:49.000,NA,First Alarm,BRONX,Medical - PD Link 10-91,Medical Emergencies,2017-09-14T13:29:51.000,2017-09-14T13:27:38.000,0,0,0,0,50,1.73E+15,N,N,10471,"BROADWAY & W 242 ST, New York, NY 10471",40.889763,-73.897934
31,QUEENS,110 AVE & SPRINGFIELD BLVD,5436,Initial Alarm,UCT/911,27,413,29,5,8,1,2017-05-05T12:58:45.000,2017-05-05T12:58:25.000,2017-05-05T13:02:11.000,First Alarm,QUEENS,Assist Civilian - Non-Medical,NonMedical Emergencies,2017-05-05T13:08:35.000,2017-05-05T12:58:17.000,234,226,0,0,105,1.71E+15,N,Y,11429,"110 AVE & SPRINGFIELD BLVD, New York, NY 11429",40.708309,-73.738553
32,QUEENS,ROCKAWAY BEACH BLVD & BEACH 60 ST,1223,Initial Alarm,UCT/911,31,414,27,5,10,1,2017-11-27T08:55:04.000,2017-11-27T08:54:51.000,2017-11-27T08:58:43.000,First Alarm,QUEENS,Carbon Monoxide - Code 3 - Emergency (over 9 ppm),NonMedical Emergencies,2017-11-27T09:12:42.000,2017-11-27T08:54:41.000,242,232,1,0,100,1.73E+15,N,Y,11692,"ROCKAWAY BEACH BLVD & BEACH 60 ST, New York, NY 11692",40.5831381,-73.8226613
33,RICHMOND / STATEN ISLAND,RICHMOND AVE & ARTHUR KILL RD,3695,Initial Alarm,EMS Link/Medical,51,502,31,11,11,1,2017-05-30T06:29:05.000,2017-05-30T06:28:35.000,NA,First Alarm,RICHMOND / STATEN ISLAND,Medical - EMS Link 10-91,Medical Emergencies,2017-05-30T06:31:27.000,2017-05-30T06:28:24.000,0,0,0,0,123,1.72E+15,N,N,10312,"RICHMOND AVE & ARTHUR KILL RD, New York, NY 10312",40.561091,-74.169817
34,QUEENS,HARDING XWAY & GCP,8387,Initial Alarm,UCT/911,21,404,24,14,24,2,2017-06-09T21:42:00.000,2017-06-09T21:41:47.000,2017-06-09T21:48:35.000,First Alarm,QUEENS,Vehicle Accident - Other,NonMedical Emergencies,2017-06-09T22:17:58.000,2017-06-09T21:41:23.000,432,408,3,1,110,1.72E+15,N,Y,11375,"HARDING XWAY & GCP, New York, NY 11375",NA,NA
35,RICHMOND / STATEN ISLAND,PITNEY AVE AND GAYNOR ST,4141,Initial Alarm,UCT/911,51,503,31,11,11,2,2017-06-02T08:33:00.000,2017-06-02T08:32:35.000,2017-06-02T08:38:06.000,First Alarm,RICHMOND / STATEN ISLAND,Odor - Other Than Smoke,NonMedical Emergencies,2017-06-02T08:47:58.000,2017-06-02T08:32:24.000,342,331,2,1,123,1.72E+15,N,Y,10309,"PITNEY AVE AND GAYNOR ST, New York, NY 10309",40.5302592,-74.2199351
36,MANHATTAN,42 ST & TUDOR CITY PL,770,Initial Alarm,EMS Link/Medical,4,106,2,12,9,1,2017-02-06T23:45:01.000,2017-02-06T23:44:35.000,NA,First Alarm,MANHATTAN,Medical - EMS Link 10-91,Medical Emergencies,2017-02-06T23:49:29.000,2017-02-06T23:44:26.000,0,0,0,0,17,1.70E+15,N,N,10017,"42 ST & TUDOR CITY PL, New York, NY 10017",40.7578775,-73.9913276
37,QUEENS,BROADWAY & 33 ST,7422,Initial Alarm,EMS Link/Medical,22,401,30,12,13,1,2017-07-30T23:02:52.000,2017-07-30T23:02:30.000,2017-07-30T23:06:29.000,First Alarm,QUEENS,Vehicle Accident - Other,NonMedical Emergencies,2017-07-30T23:21:14.000,2017-07-30T23:02:17.000,252,239,1,2,114,1.72E+15,N,Y,11106,"BROADWAY & 33 ST, New York, NY 11106",40.761228,-73.923794
38,BRONX,WESTCHESTER & PUGSLEY AVES,2887,Initial Alarm,PD Link/Medical,18,209,8,14,3,1,2017-03-27T22:48:34.000,2017-03-27T22:48:14.000,2017-03-27T22:52:03.000,First Alarm,BRONX,Medical - Assist Civilian,Medical Emergencies,2017-03-28T00:14:22.000,2017-03-27T22:48:11.000,232,229,0,0,43,1.71E+15,N,Y,10462,"WESTCHESTER & PUGSLEY AVES, New York, NY 10462",40.833546,-73.857735
39,RICHMOND / STATEN ISLAND,FOREST HILL RD AND ISMAY ST,1742,Initial Alarm,PD Link/Medical,50,502,31,11,5,1,2017-10-13T09:08:46.000,2017-10-13T09:06:44.000,NA,First Alarm,RICHMOND / STATEN ISLAND,Medical - PD Link 10-91,Medical Emergencies,2017-10-13T09:11:20.000,2017-10-13T09:06:39.000,0,0,0,0,121,1.73E+15,N,N,10314,"FOREST HILL RD AND ISMAY ST, New York, NY 10314",40.5978581,-74.1405199
40,BROOKLYN,MAIN & WATER STS,469,Initial Alarm,PD Link/Medical,33,302,13,7,16,1,2017-07-02T04:11:50.000,2017-07-02T04:11:13.000,NA,First Alarm,BROOKLYN,Medical - PD Link 10-91,Medical Emergencies,2017-07-02T04:13:43.000,2017-07-02T04:10:57.000,0,0,0,0,84,1.72E+15,N,N,11201,"MAIN & WATER STS, New York, NY 11201",40.703271,-73.990659
41,BROOKLYN,AVENUE D & E 40 ST,2412,Initial Alarm,PD Link/Medical,45,317,22,9,11,1,2017-07-26T09:06:06.000,2017-07-26T09:05:49.000,2017-07-26T09:09:42.000,First Alarm,BROOKLYN,Medical - Assist Civilian,Medical Emergencies,2017-07-26T09:21:47.000,2017-07-26T09:05:38.000,244,233,0,0,67,1.72E+15,N,Y,11203,"AVENUE D & E 40 ST, New York, NY 11203",40.641541,-73.938983
42,BROOKLYN,NEW YORK AVE & BERGEN ST,949,Initial Alarm,EMS Link/Medical,36,308,17,9,5,1,2017-07-12T10:01:19.000,2017-07-12T10:00:51.000,2017-07-12T10:07:29.000,First Alarm,BROOKLYN,Medical - Assist Civilian,Medical Emergencies,2017-07-12T10:19:41.000,2017-07-12T10:00:46.000,403,398,0,0,77,1.72E+15,N,Y,11213,"NEW YORK AVE & BERGEN ST, New York, NY 11213",40.675962,-73.947136
43,BROOKLYN,SUTTER & MONTAUK AVES,1827,7-5 (All Hands Alarm),UCT/911,42,305,19,8,6,6,2017-04-29T22:55:38.000,2017-04-29T22:55:27.000,2017-04-29T22:58:16.000,All Hands Working,BROOKLYN,Private Dwelling Fire,Structural Fires,2017-04-30T00:18:17.000,2017-04-29T22:55:21.000,175,169,4,6,75,1.71E+15,N,Y,11208,"SUTTER & MONTAUK AVES, New York, NY 11208",40.671997,-73.877398
44,BROOKLYN,NOSTRAND & PARK AVES,369,Initial Alarm,EMS Link/Medical,33,303,13,7,8,1,2017-06-30T02:04:20.000,2017-06-30T02:03:52.000,NA,First Alarm,BROOKLYN,Medical - EMS Link 10-91,Medical Emergencies,2017-06-30T02:05:51.000,2017-06-30T02:03:44.000,0,0,0,0,79,1.72E+15,N,N,11205,"NOSTRAND & PARK AVES, New York, NY 11205",40.6414193,-73.9485721
45,BROOKLYN,ST NICHOLAS AVE & MENAHAN ST,762,Initial Alarm,UCT/911,37,304,32,7,12,3,2017-10-23T21:38:10.000,2017-10-23T21:37:50.000,2017-10-23T21:39:37.000,First Alarm,BROOKLYN,Multiple Dwelling 'A' - Food on the stove fire,Structural Fires,2017-10-23T21:44:21.000,2017-10-23T21:37:38.000,119,107,2,1,83,1.73E+15,N,Y,11237,"ST NICHOLAS AVE & MENAHAN ST, New York, NY 11237",40.828552,-73.9422999
46,MANHATTAN,TRANS MANHATTAN EXWAY WEST BOUND,8701,Initial Alarm,EMS Link/Medical,10,112,6,13,17,3,2017-03-27T02:20:41.000,2017-03-27T02:20:24.000,2017-03-27T02:23:30.000,First Alarm,MANHATTAN,Vehicle Accident - With Extrication,NonMedical Emergencies,2017-03-27T03:53:53.000,2017-03-27T02:20:07.000,203,186,2,2,34,1.71E+15,N,Y,10033,"TRANS MANHATTAN EXWAY WEST BOUND, New York, NY 10033",40.8478558,-73.9358353
47,RICHMOND / STATEN ISLAND,TERRACE CT & LIGHTHOUSE AV\RICHMOND VFD,2432,Initial Alarm,PD Link/Medical,50,502,31,11,35,1,2017-03-19T15:49:38.000,2017-03-19T15:49:16.000,2017-03-19T15:55:11.000,First Alarm,RICHMOND / STATEN ISLAND,Medical - Assist Civilian,Medical Emergencies,2017-03-19T16:06:35.000,2017-03-19T15:48:41.000,390,355,0,0,122,1.71E+15,N,Y,10306,"TERRACE CT & LIGHTHOUSE AV\RICHMOND VFD, New York, NY 10306",40.57794,-74.134926
48,BRONX,OGDEN AVE & W 165 ST,2528,Initial Alarm,EMS Link/Medical,8,204,9,15,5,1,2017-07-16T10:26:19.000,2017-07-16T10:26:05.000,NA,First Alarm,BRONX,Medical - EMS Link 10-91,Medical Emergencies,2017-07-16T10:28:56.000,2017-07-16T10:26:00.000,0,0,0,0,44,1.72E+15,N,N,10452,"OGDEN AVE & W 165 ST, New York, NY 10452",40.834411,-73.928557
49,MANHATTAN,MORNINGSIDE AVE & W 125 ST\KING BLVD,1474,Initial Alarm,UCT/911,7,109,5,13,7,0,2017-07-04T17:58:48.000,2017-07-04T17:58:12.000,2017-07-04T18:02:45.000,First Alarm,MANHATTAN,Assist Civilian - Non-Medical,NonMedical Emergencies,2017-07-04T18:19:16.000,2017-07-04T17:58:05.000,280,273,1,0,26,1.72E+15,N,Y,10027,"MORNINGSIDE AVE & W 125 ST\KING BLVD, New York, NY 10027",40.8081908,-73.9563369
50,MANHATTAN,PLEASANT AVE & 120 ST,1444,Initial Alarm,EMS Link/Medical,8,111,4,13,9,1,2017-02-09T04:44:43.000,2017-02-09T04:42:26.000,2017-02-09T04:48:36.000,First Alarm,MANHATTAN,Medical - Assist Civilian,Medical Emergencies,2017-02-09T04:59:00.000,2017-02-09T04:42:17.000,379,370,0,0,25,1.70E+15,N,Y,10035,"PLEASANT AVE & 120 ST, New York, NY 10035",40.7957325,-73.9326694
51,BRONX,BARTOW AND WICKHAM AVES,4379,Initial Alarm,UCT/911,12,212,11,16,24,0,2017-02-19T14:47:16.000,2017-02-19T14:44:47.000,2017-02-19T14:49:03.000,First Alarm,BRONX,Assist Civilian - Non-Medical,NonMedical Emergencies,2017-02-19T14:59:50.000,2017-02-19T14:44:23.000,280,256,1,0,47,1.71E+15,N,Y,10469,"BARTOW AND WICKHAM AVES, New York, NY 10469",40.8672435,-73.8364906
52,BRONX,BRONXWOOD AVE & E 218 ST,3648,DEFAULT RECORD,PD Link/Medical,12,212,11,16,138,1,2017-12-30T18:07:45.000,2017-12-30T18:07:31.000,2017-12-30T18:09:45.000,First Alarm,BRONX,Medical MFA - PD Link,Medical MFAs,2017-12-30T18:14:48.000,2017-12-30T18:05:13.000,272,134,0,0,47,1.74E+15,N,N,10469,"BRONXWOOD AVE & E 218 ST, New York, NY 10469",40.876858,-73.8597735
53,BRONX,3 AVE & 141 ST,2170,Initial Alarm,ERS,NA,NA,NA,NA,34,1,2017-06-03T21:42:44.000,2017-06-03T21:42:25.000,2017-06-03T21:45:23.000,First Alarm,BRONX,Medical - Assist Civilian,Medical Emergencies,2017-06-03T22:24:57.000,2017-06-03T21:41:51.000,212,178,0,0,NA,1.72E+15,N,Y,NA,"3 AVE & 141 ST, New York, NY NA",40.8327336,-73.9050357
54,MANHATTAN,7 AVE & W 37 ST,741,Initial Alarm,Private Fire Alarm,3,105,2,10,67,1,2017-10-10T14:24:33.000,2017-10-10T14:24:13.000,2017-10-10T14:29:46.000,First Alarm,MANHATTAN,Alarm System - Defective,NonMedical Emergencies,2017-10-10T14:51:00.000,2017-10-10T14:23:06.000,400,333,1,1,14,1.73E+15,N,Y,10018,"7 AVE & W 37 ST, New York, NY 10018",40.667258,-73.9815295
55,QUEENS,JAMAICA AVE & 77 ST,8508,Initial Alarm,EMS Link/Medical,30,409,27,7,16,1,2017-02-12T16:47:50.000,2017-02-12T16:47:16.000,2017-02-12T16:52:48.000,First Alarm,QUEENS,Medical - Assist Civilian,Medical Emergencies,2017-02-12T17:01:48.000,2017-02-12T16:47:00.000,348,332,0,0,102,1.70E+15,N,Y,11421,"JAMAICA AVE & 77 ST, New York, NY 11421",40.7022991,-73.8038488
56,BROOKLYN,FULTON ST & SACKMAN ST,1678,DEFAULT RECORD,ERS,NA,NA,NA,NA,5,1,2017-09-24T02:43:42.000,2017-09-24T02:43:17.000,2017-09-24T02:47:06.000,First Alarm,BROOKLYN,Non-Medical MFA - ERS,NonMedical MFAs,2017-09-24T02:50:54.000,2017-09-24T02:43:12.000,234,229,0,0,NA,1.73E+15,N,Y,NA,"FULTON ST & SACKMAN ST, New York, NY NA",40.7100491,-74.007383
57,BROOKLYN,FRANKLIN & DUPONT STS,24,Initial Alarm,PD Link/Medical,33,301,14,12,10,1,2017-04-10T11:30:59.000,2017-04-10T11:30:33.000,2017-04-10T11:34:11.000,First Alarm,BROOKLYN,Medical - Assist Civilian,Medical Emergencies,2017-04-10T11:51:07.000,2017-04-10T11:30:23.000,228,218,0,0,94,1.71E+15,N,Y,11222,"FRANKLIN & DUPONT STS, New York, NY 11222",40.735555,-73.958521
