,AlarmBoxwBorough,Address,Lat,Lon
51,Q4994,"BROOKVILLE BLVD & 247 ST, New York, NY NA",40.662468,-73.7413551
52,X2723,"WALTON AVE & CLARKE PL, New York, NY 10452",40.8386546,-73.9166653
53,Q8379,"QNS MID-TOWN TUNNEL HWY OVER 29 ST, New York, NY 11101",40.7451334,-73.9641456
54,M1976,"WARDS ISL CENTRAL FIELDS, New York, NY 10035",40.7976036,-73.9171187
55,M7322,"IRT 1-2-3 ? W 14 ST & 7 AVE, New York, NY 10011",40.7382109,-73.9999234
56,X7216,"IND B&D ? E 174 ST & GRAND CONCOURSE, New York, NY 10452",36.2514782,-95.6656902
57,R0073,"FRANKLIN AVE & FILLMORE ST, New York, NY NA",40.6813005,-73.9556916
58,R2381,"RICHMOND AVE & VICTORY BLVD, New York, NY 10314",36.060985,-95.928081
59,X4845,"E229 ST-500' WEST OF SCHIEFFELIN AVE, New York, NY 10466",40.8840349,-73.8445375
60,R0979,"UNION AVE & RICHMOND TERR, New York, NY 10303",38.6539754,-90.2737864
61,Q8365,"CROSS IS PKWY- LIE TO NORTHERN BLVD, New York, NY 11363",40.6966493,-73.7274972
62,M7156,"IND B&C ? W 103  ST & CENTRAL PK W, New York, NY 10025",36.2514782,-95.6656902
63,R4298,"MOSELY AND FABIAN AVES, New York, NY 10312",40.5397512,-74.1742542
64,Q0432,"STA 264-IND G-R-V- WOODHAVEN & QNS BLVD, New York, NY NA",NA,NA
65,R1554,"MANOR RD & OCEAN TERR, New York, NY 10314",30.2978623,-97.6872269
66,R0229,"VICTORY BLVD & BAY ST, New York, NY 10301",34.1866424,-118.4821814
67,B8625,"BELT PWAY BET OCEAN PWAY & CONEY IS AV, New York, NY NA",38.943369,-95.29743
68,R0460,"PARKHILL AVE & SOBEL COURT, New York, NY 10304",40.9159125,-73.8899436
69,R2853,"NEWVALE AVE & ARTHUR KILL RD/RVFD, New York, NY 10306",40.568354,-74.149529
70,X8940,"BX RIV PKWY - GUN HILL RD N & CITY LINE, New York, NY NA",40.8823464,-73.8810626
71,X8897,"CROSS BX XWAY DEEGAN XWAY TO JEROME AVE, New York, NY NA",40.8331965,-73.8605665
72,Q8370,"CROSS IS PKWY- NORTHERN BL TO FT TOTTEN, New York, NY 11360",NA,NA
73,R2947,"WELLINGTON CT & VENUS LA--VFD, New York, NY 10314",41.8809434,-72.2600655
74,B8386,"LINDEN PLAZA HOUSES, DUMONT AVE. & ELDER, New York, NY 11208",40.6727762,-73.8661559
75,X4337,"PELHAM PKWY & NEW ENGLAND THWY, New York, NY 10465",40.8553279,-73.8639594
76,Q8389,"LI EXWY - MAIN ST TO BELL BLVD, New York, NY NA",40.7582634,-73.7682741
77,R1487,"SEA VIEW AVE & QUINCY AVE, New York, NY 10305",41.1691777,-73.1698238
78,X8744,"VA HOSP. SEDGWICK AV & KINGSBRIDGE RD, New York, NY 10468",40.8674951,-73.9051496
79,X8974,"CROSS BX EX -OLMSTEAD AV TO SWINTON AV->, New York, NY 10462",NA,NA
80,M7119,"BMT L - 1 AVE & E 14 ST, New York, NY NA",NA,NA
81,X4309,"BRUCKNER BLVD S/B & BUHRE AVE, New York, NY 10461",40.8240844,-73.8762153
82,B4010,"VANDALIA AVE BET WALKER ST & SCHENCK AVE, New York, NY 11239",36.0213675,-79.8293836
83,B7183,"IND C @ ROCKAWAY AVE & FULTON ST, New York, NY 11233",40.6653515,-73.9096306
84,Q8997,"NASSAU EXPRESSWAY & ROCKAWAY BLVD, New York, NY 11430",40.6595881,-73.7738416
85,R0404,"STAGE LA & STUDIO LA, New York, NY 10304",30.073729,-90.494534
86,Q8358,"WHITESTONE EXPY- CROSS IS TO NORTHERN BL, New York, NY 11357",40.7828772,-73.8261508
87,M0143,"MOTT ST & BOWERY, New York, NY 10038",41.9071502,-87.6672727
88,B8010,"BQE BET GRAHAM & METROPOLITAN AVES, New York, NY NA",40.6998248,-73.9962445
89,R2379,"RICHMOND AV, OPP. ETON PL\OCEANIC VFD, New York, NY 10314",37.5407246,-77.4360481
90,X8902,"BX RIV PWAY BET STORY AVE & BOSTON RD, New York, NY NA",40.8236401,-73.8630464
91,Q8362,"CIP/BELT PKWY BET 230 PL & FRANCIS LEWIS, New York, NY NA",40.6354904,-73.8804439
92,M7230,"IND B-D-F-V @ BWAY & LAFAYETTE ST, New York, NY NA",NA,NA
93,Q6431,"N SHORE TOWERS S/S GCP & CITY LINE/NCFD, New York, NY 11005",40.757583,-73.7148445
94,Q8492,"VAN WYCK EXPY- NORTHERN BL TO QUEENS BLV, New York, NY NA",NA,NA
95,M7162,"IND C&E @ W 50ST & 8 AVE, New York, NY NA",40.7806983,-81.4222423
96,M8108,"WILLIAMSBURG BRDG-BKLYN BND-INNER RDWAY, New York, NY NA",40.7136979,-73.9720393
97,B8621,"BELT PWAY BET 4 AVE & BAY 8 ST, New York, NY 11220",NA,NA
98,R0624,"LINDEN PL & NEW LA->, New York, NY 10305",41.6713979,-71.2761593
99,Q0142,"JFK - R/O BLDG 178 S/W CORNER, New York, NY NA",40.7084039,-73.999133
100,X8997,"HUTCH RV PWAY WESTCHESTER AV TO GUN HILL, New York, NY 10461",40.831368,-73.8681553
101,R2513,"NOSTRAND AVE & SIDEVIEW AVE/OVFD, New York, NY 10314",40.6414193,-73.9485721
102,Q9800,"ARCHER AVE & STANDARD PL, New York, NY 11433",41.812747,-87.7067649
103,R1719,"SOUTH GANNON AND WOODWARD AVES, New York, NY 10314",40.6071877,-74.1428811
104,R1146,"ARLINGTON AVE AND RICHMOND TERRACE, New York, NY 10303",40.6406776,-74.1673286
105,R0016,"RICHMOND TERR & NICHOLAS ST, New York, NY 10301",40.6400158,-74.1304356
106,Q8408,"BELT PKWY BET 147 & 150 STS, New York, NY 11434",40.6354904,-73.8804439
107,B7051,"BMT B&Q @ KINGS HGWY & E 16 ST, New York, NY 11229",NA,NA
108,R8745,"SI XWAY BTW BRADLEY AVE & RICHMOND AVE, New York, NY NA",40.5795317,-74.1502007
109,B8373,"LINDEN PLAZA HOUSES, DUMONT & LINCOLN AV, New York, NY 11208",40.9460386,-73.9865034
110,Q8400,"GCP - LIE TO UNION TRPK, New York, NY NA",40.7127753,-74.0059728
111,X8724,"JACOBI HOSP TEL RM PELHAM PWAY & WILSON, New York, NY NA",40.8560285,-73.8463633
112,Q6460,"76 AVE & HEWLETT ST, New York, NY 11040",40.749474,-73.7113148
113,M8604,"FDR DR - DELANCEY ST TO E 4 ST, New York, NY 10002",40.718558,-73.989333
114,X7217,"IND B&D ? E 170 ST & GRAND CONCOURSE, New York, NY 10456",36.2514782,-95.6656902
115,M2027,"LIBERTY ST 100'W OF WEST ST, New York, NY 10006",40.7100816,-74.0143715
116,Q4356,"E/S WHITESTONE EXPY & 3 AVE, New York, NY 11357",40.7798168,-73.8267347
117,Q4382,"WYCKOFF AVE & CENTRE ST, New York, NY 11385",40.7001484,-73.912192
118,X8838,"1200 WATER PL-BX DEVELOP CTR-MAIN ENT, New York, NY 10461",40.8528373,-73.837068
119,X8923,"X BX EXPY BET ROSEDALE & PUGSLEY AVES, New York, NY NA",40.6584068,-73.7389596
120,M8372,"HARLEM RIVER DR & W 143 ST, New York, NY 10035",40.8280552,-73.9346827
121,M7167,"IND A-B-C-D-E-F @ W 4 ST & 6 AVE, New York, NY NA",40.7311072,-74.0012312
122,Q8356,"MIDTOWN XWAY OPP 86 ST, New York, NY 11374",40.7782218,-73.9525688
123,R1942,"RICHMOND AVE & CHRISTOPHER LA, New York, NY 10314",36.060985,-95.928081
124,Q0305,"JFK AIRPORT - AREA C, New York, NY NA",40.6515853,-73.8111519
125,M2032,"NORTH END AVE & VESEY ST, New York, NY 10282",40.7158161,-74.0153834
126,X4601,"E/S METROPOLITAN AV-500'S OF A.RYAN OVAL, New York, NY 10462",40.8341397,-73.8604773
127,R8747,"SI XWAY BTW SOUTH AVE & WESTERN AVE, New York, NY 10314",36.693931,-97.3481577
128,R3163,"WILD AVE & BERESFORD AVE/OVFD, New York, NY 10314",40.5879395,-74.1905512
129,X4139,"RANDALL AV & CROSS BX EXPY EB SVC RD, New York, NY 10465",40.824992,-73.824066
130,M1945,"MAIN ST N OF MOTOR GATE-ROOSEVELT IS., New York, NY 10044",40.7645057,-73.9467051
131,M1460,"WARD'S IS., OUTSIDE ADMIN. BLDG, New York, NY 10035",40.7893536,-73.9265694
132,R2487,"NEW DORP LANE AND NEW DORP PLAZA NORTH, New York, NY 10306",40.5741513,-74.116691
133,M7016,"BMT N-R @E 8 ST & BWAY, New York, NY 10003",40.62206,-73.967572
134,R0958,"SIMONSON AVE AND RICHMOND TERRACE, New York, NY 10303",40.6369905,-74.1514151
135,M8346,"WARDS ISL DEPT HOMLESS SERVICES, New York, NY 10035",40.7860242,-73.9284389
136,B8668,"BQE BET KOSCIUSKO BRDG & MCGUINESS BLVD, New York, NY NA",40.7274873,-73.9287593
137,M8609,"FDR DR - E 48 TO E 61 ST, New York, NY NA",NA,NA
138,X7416,"IRT 2 - E 241 ST & WHITE PLAINS RD, New York, NY NA",40.9035209,-73.8504209
139,M1936,"N CENTRAL RD OPP OCTAGON-ROOSEVELT IS., New York, NY 10044",40.769057,-73.9435906
140,R2514,"VICTORY BLVD & ARLENE ST/OVFD, New York, NY 10314",34.1866424,-118.4821814
141,M1541,"AMSTERDAM AVE & 132 ST, New York, NY 10027",40.8134111,-73.9562384
142,Q9637,"PARK LA. SOUTH & 83 DR, New York, NY 11418",33.998396,-118.273958
143,M7301,"IRT 1 ? W 181 ST & ST NICHOLAS AVE, New York, NY NA",40.8501644,-73.935411
144,Q0302,"JFK AIRPORT - TERMINALS 1-8->, New York, NY NA",40.6413111,-73.7781391
145,X8968,"UNIVERSITY HEIGHTS BRDG>>, New York, NY NA",40.862738,-73.9148247
146,R8715,"W SHORE XWAY N/B AT MEREDITH AVE, New York, NY 10314",41.3006771,-96.094638
147,X4482,"CARVER LOOP, OPP CASALS PL, New York, NY 10475",40.8787373,-73.8250696
148,B7054,"BMT B&Q @ SHEEPSHEAD BAY RD & E 16 ST, New York, NY NA",NA,NA
149,X8960,"THROGS NECK BRIDGE ? BRONX BOUND, New York, NY 10465",40.8012485,-73.7933213
150,R1919,"LONGDALE ST & LAMBERTS LANE, New York, NY 10314",40.6170205,-74.1643642
151,X4844,"E229 ST-396' EAST OF LACONIA AVE, New York, NY 10466",40.8843372,-73.8492225
152,R2618,"MILL RD & TYSENS LA, New York, NY 10306",42.7658298,-73.7897238
153,M8608,"FDR DR - E 33 TO E 47 ST, New York, NY 10016",40.7529077,-73.9703635
154,X2635,"OLMSTEAD AVE & CESEAR PL, New York, NY 10473",40.8257702,-73.8527574
155,Q8202,"QNS MID-TOWN TUNNEL W/B EXIT S/S 37 ST, New York, NY NA",40.7451334,-73.9641456
156,R8039,"FRONT ST 250' E/O EDGEWATER & BAY STS, New York, NY NA",40.8270448,-73.975694
157,X8556,"P.S. 29 COURTLAND AV & 157 ST, New York, NY 10451",40.8214439,-73.9169724
158,X8950,"WHITESTONE BRIDGE ? BRONX BOUND, New York, NY NA",40.8011125,-73.8292316
159,Q8300,"ROCKAWAY PT BLVD BCH 201 ENT BREEZY PT, New York, NY 11697",40.5609017,-73.9170099
160,R8037,"VERR BR-U/L-MAIN CONTROL BOOTH AT TOLL G, New York, NY NA",40.7127753,-74.0059728
161,R1215,"CAPODANNO BLVD & SAND LA, New York, NY 10305",40.5681991,-74.092782
162,R2448,"AMBER ST & SHADOW LA\RICHMOND VFD, New York, NY 10306",39.9893165,-75.1155013
163,M7402,"IRT 4-5-6 @ E 42 ST & LEX AVE-GRAND CENT, New York, NY 10017",40.8044005,-73.9372187
164,M7437,"IRT 3 ? W 145 ST & LENOX AVE, New York, NY 10039",40.8203707,-73.9364897
165,M8511,"RIVERBANK PARK SOUTH COMFORT STATION, New York, NY NA",40.7127753,-74.0059728
166,R1902,"LAMBERTS LANE AND MAY AVE, New York, NY 10314",40.615677,-74.161669
167,R8501,"SILVER LAKE PARK RD 1050' S FORES, New York, NY NA",40.6273359,-74.0980693
168,X7428,"IRT 2&5 ? E 174 ST &  SOUTHERN BLVD, New York, NY 10460",NA,NA
169,R1776,"BRIELLE AVE AND COUNTY HOUSE RD, New York, NY 10314",40.5957656,-74.1341891
170,R1223,"SAND LA & OLYMPIA BLVD, New York, NY 10305",36.138641,-96.109902
171,Q6968,"NORTHER BLVD & CLEARVIEW EXPY E/SVC RD, New York, NY NA",40.7887673,-73.7055947
172,M4502,"TRUMP TOWER RESP ZONE-W56ST-MADISON-PARK, New York, NY 10022",40.7624284,-73.973794
173,X8826,"2750 LAFAYETTE AVE-HUNTINGTON AV,JHS101, New York, NY NA",40.827175,-73.8293166
174,X8996,"HUTCH RIV PKWY-WATERBURY & E TREMONT AVE, New York, NY NA",41.5581525,-73.0514965
175,R2876,"NATIC ST AVE & MC KINLEY AVE/RVFD, New York, NY 10306",40.5707366,-74.1366105
176,B8060,"BQE BET FLUSHING AV & GOLD ST, New York, NY NA",40.7019109,-73.9369844
177,M1679,"159 ST-600' WEST OF 8 AVE, New York, NY 10039",40.7630371,-73.9810287
178,R2617,"TYSENS LA & FALCON AVE, New York, NY 10306",40.56374,-74.116768
179,R0733,"CORTLANDT ST AND SHARRET PL, New York, NY 10302",40.629075,-74.133437
180,Q8445,"CLEARVIEW EXPY- NORTHERN BLVD TO LIE, New York, NY NA",NA,NA
181,R2893,"AULTMAN AVE & RICHMOND RD/RVFD, New York, NY 10306",40.5745643,-74.1366835
182,R3685,"ELTINGVILLE BLVD & GENESSE AV, New York, NY 10312",40.55208,-74.1659708
183,B7060,"BMT D&M@FTHAMILTON PKWY & NEW UTRECHT AV, New York, NY 11219",NA,NA
184,R1743,"FOREST HILL RD AND DRYSDALE ST, New York, NY 10314",40.5993054,-74.1400853
185,M7439,"IRT 2&3 ? W 125 ST & LENOX AVE, New York, NY NA",NA,NA
186,M7022,"BMT R @ RECTOR ST & TRINITY PL, New York, NY NA",40.7078954,-74.0136365
187,M7438,"IRT 2&3 ? W 135 ST & LENOX AVE, New York, NY NA",NA,NA
188,X2557,"E167 ST & STEBBINS/REV POLITE AVE, New York, NY 10459",40.8292785,-73.9060662
189,B7341,"IRT 2&3 @ EASTERN PKWY BKLYN MUSEUM, New York, NY 11238",NA,NA
190,X3295,"EASTCHESTER RD & AMTRAK RR OVERPASS, New York, NY 10461",40.8639442,-73.843395
191,X7366,"IRT 6 -PARKCHESTER AVE & WESTCHESTER AVE, New York, NY NA",40.8044005,-73.9372187
192,X8977,"CROSS BRONX EXPY & BRUCKNER EXPY, New York, NY NA",40.8331965,-73.8605665
193,R4315,"BLOOMINGDALE AND WOODROW RD, New York, NY 10309",40.5410998,-74.2177387
194,Q6939,"42 AVE & FRANCIS LEWIS BLVD, New York, NY 11361",45.5601235,-122.6201988
195,X4448,"BOLLER AV-600' N. OF TILLOTSON AV, New York, NY 10475",40.7565991,-73.9983719
196,X8921,"NEW ENG THWY-BRUCKNER EXPY TO BARTOW AVE, New York, NY NA",40.8246543,-73.8709733
197,M1935,"CROSS RD 600' W OF FIREHOUSE RSVLT IS, New York, NY 10044",40.7605031,-73.9509934
198,Q8404,"BELT PKWY BET HURON ST & 130 PL, New York, NY 11420",40.6354904,-73.8804439
199,B8381,"P.S. 260, WILLIAMS AVE. & STANLEY AVE., New York, NY NA",40.6540104,-73.894627
200,R3413,"KELVIN AVE & SOUTH RAILROAD AVE->, New York, NY NA",33.6840039,-117.8377385
201,B7026,"BMT B-M-Q-R @ DEKALB AVE & FLATBUSH AVE, New York, NY NA",40.6918884,-73.9470721
202,B8629,"BELT PKWY BTW ERSKINE ST & CROSS BAY BLV, New York, NY NA",40.6354904,-73.8804439
203,B8628,"BELT PWAY BET FLATBUSH AV & ROCKAWAY PKY, New York, NY NA",40.6156359,-73.9295092
204,X3522,"KINGSBRIDGE TERR & FORT INDEPENDENCE, New York, NY 10463",40.8739816,-73.9027462
205,M0128,"400' W OF CATHERINE ST & 350' N OF SOUTH, New York, NY 10038",40.0113312,-79.0858209
206,R2196,"FIRTH & PLANK RDS/OCEANIC VFD, New York, NY 10314",40.532748,-96.6072541
207,R2083,"GREELEY AND NORTH RAILROAD AVES, New York, NY 10306",40.5786262,-74.1105262
208,R1295,"CLOVE RD AND HILLCREST TERRACE, New York, NY 10305",40.6034082,-74.0832654
209,R8038,"VERR BR-L/L-MAIN CONTROL BOOTH AT TOLL G, New York, NY NA",40.7127753,-74.0059728
210,Q8360,"CROSS IS PKWY- JAMAICA AV TO HILLSIDE AV, New York, NY 11426",40.732705,-73.7275087
211,R0021,"YORK AVE & RICHMOND TERR, New York, NY NA",40.7691326,-73.9520934
212,X8998,"HUTCH RIV PKWY-BRUCKNER EXPY & CITY LINE, New York, NY NA",40.9301582,-73.8026946
213,B8324,"PS 156 104 SUTTER AVE/GRAFTON ST, New York, NY NA",40.6654569,-73.9179986
214,R1489,"422' N OF OLYMPIA BLVD & SEA VIEW AVE, New York, NY 10305",40.5891413,-74.0785426
215,X4457,"FOOT OF DE KRUIF PL, New York, NY 10475",40.8757834,-73.828923
216,B8615,"GOWANUS XWAY & BQE, New York, NY NA",40.6733364,-73.9903489
217,B7032,"BMT D-M-N-R @ 36 ST & 4 AVE, New York, NY NA",NA,NA
218,M0842,"BEEKMAN PL & E 49 ST, New York, NY 10022",40.7533089,-73.9647957
219,M7327,"IRT 1? 2-3 CHAMBERS ST & W BWAY, New York, NY 10007",40.7131428,-74.0040845
220,M7406,"IRT 4-5-6 ? E 14 ST UNION SQ & 4 AVE, New York, NY 10003",40.7352761,-73.9910512
221,Q8396,"G.C.P. BTW 79 & 93 STS, New York, NY NA",NA,NA
222,Q9631,"S/S ATLANTIC AVE 135' E OF 111 ST, New York, NY 11418",40.6908016,-73.9956516
223,M7277,"IND B-D-E @ 7 AVE & W 53 ST, New York, NY 10019",40.7669204,-73.9790398
224,Q0061,"FLUSHING MEADOW PK APPROACH RD 400 FT SO, New York, NY 11355",40.7406758,-73.7853841
225,M7231,"IND B&D @ GRAND ST & CHRISTIE ST, New York, NY NA",36.2514782,-95.6656902
226,R0018,"RICHMOND TERR & WESTERVELT AVE, New York, NY 10301",40.6400158,-74.1304356
227,B7345,"IRT 3&4 @ UTICA AVE & EASTERN PKWY, New York, NY 11213",NA,NA
228,X8867,"IS 229, CEDAR & SEDGWICK AVES, New York, NY 10453",40.9801481,-72.2122509
229,R1297,"NARROWS RD N, 200' W OF HYLAN BLVD, New York, NY 10305",40.6066873,-74.079369
230,Q4584,"S/W COR MYRTLE AVE & CENTRE ST, New York, NY 11385",40.699736,-73.9096327
231,Q8371,"CROSS IS PKWY- UNION TPKE TO LIE, New York, NY NA",NA,NA
232,R0772,"PORT RICHMOND AVE & HATFIELD PL, New York, NY 10302",40.6325086,-74.1374066
233,R2622,"TYSENS LANE AND MANILA AVE, New York, NY 10306",40.5599294,-74.1095493
234,M1784,"FT WASHINGTON AV, 125' S OF CABRINI PLZ, New York, NY 10040",40.8522482,-73.9398176
235,M7161,"IND A-B-C&D @ W 59 ST & COLUMBUS CIR, New York, NY NA",41.2307149,-85.8189024
236,Q8392,"JACKIE ROBINSON PKWY - MYRTLE AVE, New York, NY NA",40.6887278,-73.8862997
237,B8630,"PROSPECT XWAY BET 5 AVE & OCEAN PWAY, New York, NY NA",40.7314123,-73.9969848
238,R3822,"HARBOUR CT SOUTH OF TENNYSON DR, New York, NY 10308",40.5386609,-74.1435073
239,X8836,"1500 WATER PL-BX STATE HOSP-ADMIN BLDG-T, New York, NY 10461",40.8477916,-73.8398083
240,R2425,"KENT ST & LONDON RD\RICHMOND VFD, New York, NY 10306",41.1490629,-81.3414649
241,X2355,"SEDGWICK & JEROME AVES, New York, NY NA",37.9166784,-97.422541
242,B8689,"BELT PKWY BTW PNSYLVNIA AV & ERSKINE ST, New York, NY NA",40.6354904,-73.8804439
243,R0494,"FOX HILL TERRACE & VIRGINIA AVE, New York, NY 10305",35.6433257,-97.4364675
244,M7009,"BMT N-Q-R @ W 57 ST & 7 AVE, New York, NY 10106",40.765564,-73.9803309
245,M8172,"PENN STATION COMMAND CNTR - 400 W 31 ST, New York, NY NA",40.750568,-73.993519
246,R3945,"INDUST LOOP E OF ARTHKILL RD, New York, NY 10309",40.7853896,-73.9239637
247,M7158,"IND B&C @ W 86 ST & CENTRAL PK W, New York, NY NA",36.2514782,-95.6656902
248,Q8380,"BQE - KOSCIUSZKO BRDG TO LIE, New York, NY NA",40.7274873,-73.9287593
249,R3069,"HOPKINS AVE & HYLAN BLVD->, New York, NY 10306",28.575496,-80.804008
250,Q6463,"76 AVE & 270 ST, New York, NY 11004",40.749474,-73.7113148
251,M1590,"RANDALLS ISL TBTA COMPLEX MULTI BLDGS, New York, NY 10035",40.7932271,-73.9212858
252,B7141,"BMT SHUTTLE @ PARK PL & FRANKLIN AVE, New York, NY NA",40.674736,-73.9578518
253,M8154,"408 1 AVE - VA HOSP, New York, NY NA",40.7368724,-73.9772754
254,M1004,"RIVERSIDE BLVD & W 67 ST, New York, NY 10069",40.7770587,-73.9890502
255,X8527,"LINCOLN HLTH CTR, 149 ST & MORRIS AV-SEC, New York, NY NA",40.8169418,-73.9244146
256,Q0457,"STA 457- IRT #7- 52 ST & ROOSEVELT AVE, New York, NY NA",NA,NA
257,X8853,"ADMIN BLDG P.D. PISTOL RANGE RODMANS NEC, New York, NY NA",40.7127753,-74.0059728
258,X8973,"SPUYTEN DYVIL RAILROAD BRDG>>, New York, NY NA",40.7127753,-74.0059728
259,Q2908,"E/S OF VAN WYCK XWAY S & NORTHERN BLVD, New York, NY NA",40.7032968,-73.8166608
260,Q0443,"STA 278- IND E-J-Z- PARSONS & ARCHER, New York, NY NA",NA,NA
261,X4129,"LAFAYETTE AV & CROSS BX EXPY WB SVC RD, New York, NY 10465",40.6860052,-73.9733163
262,R3181,"LATIMER & SHENANDOAH AVES\OCEANIC VFD, New York, NY NA",36.169458,-95.993585
263,X8958,"3 AVE BRIDGE>>, New York, NY NA",40.807587,-73.9324732
264,X8829,"BRUCKNER EXPY E/B ABOVE BRUSH AV, New York, NY 10462",40.8246543,-73.8709733
265,R8713,"W SHORE XWAY N/B 300' S OF SOUTH AVE, New York, NY NA",40.6320444,-74.1667962
266,R2069,"COLONY ST & GREELEY AVE, New York, NY 10306",41.545663,-72.795456
